"pallet","code","number","ctr","ordernr","resultaat"
"18",4682,7,"TCLU 1293323",50576,"RAS"
"TL18",4595,23,"TCLU 1293323",50576,"RAS"
"19",1290,2,"TCLU 1293323",50576,"RAS"
"19",1519,4,"TCLU 1293323",50576,"RAS"
"19",1518,19,"TCLU 1293323",50576,"RAS"
"TL19",1628,29,"TCLU 1293323",50576,"RAS"
"20",4348,15,"TCLU 1293323",50576,"RAS"
"20",4433,17,"TCLU 1293323",50576,NA
"20",4610,17,"TCLU 1293323",50576,NA
"TL20",4676,5,"TCLU 1293323",50576,"RAS"
